season,player,team,position
1991,G McKenna,WCE,FB
1991,A Daniher,ESS,FB
1991,N Smart,ADEL,FB
1991,D Grant,STK,HB
1991,P Roos,FITZ,HB
1991,K Hinkley,GEEL,HB
1991,C Mainwaring,WCE,C
1991,P Couch,GEEL,C
1991,P Matera,WCE,C
1991,G Brown,COLL,HF
1991,S Loewe,STK,HF
1991,N Winmar,STK,HF
1991,T Francis,COLL,FF
1991,T Lockett,STK,FF
1991,G Hocking,GEEL,FF
1991,J Stynes,MELB,Fol
1991,M Bairstow,GEEL,Fol
1991,B Mitchell,SYD,Fol
1991,B Brownless,GEEL,Int
1991,C Turley,WCE,Int
1991,M Malthouse,WCE,Coach
1992,B Hart,ADEL,FB
1992,P Roos,FITZ,FB
1992,G Wanganeen,ESS,FB
1992,K Hinkley,GEEL,HB
1992,B Stoneham,GEEL,HB
1992,M Hanna,CARL,HB
1992,D Kemp,WCE,C
1992,D Jarman,HAW,C
1992,M McGuane,COLL,C
1992,R Harvey,STK,HF
1992,S Loewe,STK,HF
1992,G Ablett,GEEL,HF
1992,T McGuinness,ADEL,FF
1992,J Dunstall,HAW,FF
1992,T Lockett,STK,FF
1992,S Wynd,WB,Fol
1992,C McDermott,ADEL,Fol
1992,J Platten,HAW,Fol
1992,S Kernahan,CARL,Int
1992,M Bairstow,GEEL,Int
1992,T Wheeler,WB,Coach
1993,B Hart,ADEL,FB
1993,A Lynch,FITZ,FB
1993,G Wanganeen,ESS,FB
1993,G McKenna,WCE,HB
1993,M Harvey,ESS,HB
1993,A McKay,CARL,HB
1993,G Anderson,ADEL,C
1993,G Williams,CARL,C
1993,P Matera,WCE,C
1993,C Bradley,CARL,HF
1993,W Carey,NM,HF
1993,G Lyon,MELB,HF
1993,G Hocking,GEEL,FF
1993,G Ablett,GEEL,FF
1993,T Modra,ADEL,FF
1993,J Stynes,MELB,Fol
1993,B Allan,HAW,Fol
1993,T McGuinness,ADEL,Fol
1993,N Smart,ADEL,Int
1993,N Burke,STK,Int
1993,K Sheedy,ESS,Coach
1994,D Hart,WCE,FB
1994,S Silvagni,CARL,FB
1994,C Langford,HAW,FB
1994,G McKenna,WCE,HB
1994,G Jakovich,WCE,HB
1994,M Mansfield,GEEL,HB
1994,S Tingay,MELB,C
1994,G Williams,CARL,C
1994,P Matera,WCE,C
1994,G Brown,COLL,HF
1994,W Carey,NM,HF
1994,G Lyon,MELB,HF
1994,J Dunstall,HAW,FF
1994,G Ablett,GEEL,FF
1994,B Allan,HAW,FF
1994,S Rehn,ADEL,Fol
1994,R Harvey,STK,Fol
1994,G Hocking,GEEL,Fol
1994,M Ricciuto,ADEL,Int
1994,C Bradley,CARL,Int
1994,S Kernahan,CARL,Int
1994,N Balme,MELB,Coach
1995,G Wanganeen,ESS,FB
1995,S Silvagni,CARL,FB
1995,A Christou,CARL,FB
1995,M Mansfield,GEEL,HB
1995,G Jakovich,WCE,HB
1995,W Campbell,RICH,HB
1995,N Winmar,STK,C
1995,P Couch,GEEL,C
1995,M Long,ESS,C
1995,G Lyon,MELB,HF
1995,W Carey,NM,HF
1995,J Hird,ESS,HF
1995,D Jarman,HAW,FF
1995,G Ablett,GEEL,FF
1995,T Lockett,SYD,FF
1995,J Madden,CARL,Fol
1995,R Harvey,STK,Fol
1995,C Bradley,CARL,Fol
1995,A Koutoufides,CARL,Int
1995,D Neitz,MELB,Int
1995,P Kelly,SYD,Int
1995,D Parkin,CARL,Coach
1996,N Burke,STK,FB
1996,S Silvagni,CARL,FB
1996,M Sexton,CARL,FB
1996,N Buckley,COLL,HB
1996,P Roos,SYD,HB
1996,P Matera,WCE,HB
1996,C Mainwaring,WCE,C
1996,P Kelly,SYD,C
1996,S Crawford,HAW,C
1996,J Hird,ESS,HF
1996,W Carey,NM,HF
1996,M White,WCE,HF
1996,M Voss,BL,FF
1996,T Lockett,SYD,FF
1996,D Jarman,ADEL,FF
1996,C McKernan,NM,Fol
1996,R Harvey,STK,Fol
1996,C Lambert,BL,Fol
1996,G Hocking,GEEL,Int
1996,G Archer,NM,Int
1996,M Richardson,RICH,Int
1996,R Eade,SYD,Coach
1997,D King,NM,FB
1997,S Silvagni,CARL,FB
1997,P Roos,SYD,FB
1997,P Matera,WCE,HB
1997,M Sexton,CARL,HB
1997,A Heuskes,PORT,HB
1997,A Jones,STK,C
1997,C Bradley,CARL,C
1997,N Buckley,COLL,C
1997,R Smith,WB,HF
1997,C Grant,WB,HF
1997,M O'Loughlin,SYD,HF
1997,F Gehrig,WCE,FF
1997,T Modra,ADEL,FF
1997,P Kelly,SYD,FF
1997,P Salmon,HAW,Fol
1997,R Harvey,STK,Fol
1997,N Burke,STK,Fol
1997,M Ricciuto,ADEL,Int
1997,P Everitt,STK,Int
1997,D Cresswell,SYD,Int
1997,S Alves,STK,Coach
1998,D King,NM,FB
1998,A McIntosh,WCE,FB
1998,G Archer,NM,FB
1998,N Buckley,COLL,HB
1998,S Wellman,ESS,HB
1998,N Smart,ADEL,HB
1998,M Knights,RICH,C
1998,S West,WB,C
1998,S Crawford,HAW,C
1998,P Hudson,WB,HF
1998,W Carey,NM,HF
1998,M Ricciuto,ADEL,HF
1998,B Cousins,WCE,FF
1998,T Lockett,SYD,FF
1998,M Lloyd,ESS,FF
1998,P Everitt,STK,Fol
1998,T Viney,MELB,Fol
1998,R Harvey,STK,Fol
1998,C Grant,WB,Int
1998,A McLeod,ADEL,Int
1998,S Rehn,ADEL,Int
1998,A Stevens,NM,
1999,J Akermanis,BL,FB
1999,J Leppitsch,BL,FB
1999,B Hart,ADEL,FB
1999,B Pickett,NM,HB
1999,S Silvagni,CARL,HB
1999,A McKay,CARL,HB
1999,B Johnson,WB,C
1999,N Buckley,COLL,C
1999,W Schwass,SYD,C
1999,M Mercuri,ESS,HF
1999,W Carey,NM,HF
1999,M Voss,BL,HF
1999,B Cousins,WCE,FF
1999,M Lloyd,ESS,FF
1999,M Richardson,RICH,FF
1999,M Allan,CARL,Fol
1999,R Harvey,STK,Fol
1999,S Crawford,HAW,Fol
1999,P Bell,NM,Int
1999,N Burke,STK,Int
1999,W Campbell,RICH,Int
1999,C Grant,WB,
2000,D Hardwick,ESS,FB
2000,D Fletcher,ESS,FB
2000,A Kellaway,RICH,FB
2000,A McKay,CARL,HB
2000,D Gaspar,RICH,HB
2000,S Goodwin,ADEL,HB
2000,S West,WB,C
2000,B Ratten,CARL,C
2000,S Camporeale,CARL,C
