season,player,team,votes
1990,Tony Liberatore W,Bulldogs,18
1990,Graham Wright,Magpies,17
1990,Stephen Silvagni,Blues,16
1990,Brett Lovett,Demons,15
1990,David Bain,Bears,15
1990,Andrew Collins,Hawks,15
1990,Tony McGuinness,Bulldogs,14
1990,Darren Bewick,Bombers,13
1990,Tony Shaw,Magpies,13
1990,Greg Anderson,Bombers,13
1990,Stewart Loewe,Saints,12
1990,Bill Brownless,Cats,12
1990,John Platten,Hawks,11
1990,Stephen Malaxos,Eagles,11
1990,Paul Salmon,Bombers,11
1990,Darren Bennett,Demons,10
1990,Gary O'Donnell,Bombers,10
1990,Terry Wallace,Bulldogs,10
1990,Michael McGuane,Magpies,10
1990,Leon Cameron,Bulldogs,10
1990,Trent Nichols,Tigers,10
1990,Paul Harding,Saints,9
1990,Chris Lewis,Eagles,9
1990,Matthew Larkin,Kangaroos,9
1990,Glenn Coleman,Bulldogs,9
1990,Jason Dunstall,Hawks,9
1990,Garry Lyon,Demons,9
1990,John Longmire,Kangaroos,9
1990,Peter Daicos,Magpies,9
1990,Darren Millane,Magpies,8
1990,Darren Crocker,Kangaroos,8
1990,Brett Stephens,Lions,8
1990,Andrew Obst,Demons,8
1990,Justin Madden,Blues,8
1990,Ross Lyon,Lions,8
1990,Chris Mainwaring,Eagles,8
1990,Andrew Bews,Cats,7
1990,Terry Daniher,Bombers,7
1990,Anthony Rock,Kangaroos,7
1990,Brett Bowey,Saints,7
1990,Greg Williams,Swans,7
1990,Gareth John,Swans,7
1990,Guy McKenna,Eagles,7
1990,Stephen Lawrence,Hawks,7
1990,Tim Powell,Tigers,7
1990,Jeff Chandler,Kangaroos,6
1990,Shane Morwood,Magpies,6
1990,Michael Mitchell,Tigers,6
1990,Craig Bradley,Blues,6
1990,Dennis Carroll,Swans,6
1990,Paul Bryce,Kangaroos,6
1990,Graeme Yeats,Demons,6
1990,David Grenvold,Bombers,6
1990,Craig Lambert,Tigers,6
1990,Dean Rice,Saints,6
1990,Brett Heady,Eagles,6
1990,Adrian Bassett,Blues,6
1990,Dwayne Lamb,Eagles,6
1990,Gary Ablett,Cats,5
1990,Jim Stynes,Demons,5
1990,Barry Young,Tigers,5
1990,Dean Anderson,Hawks,5
1990,Gary Ablett,Cats,5
1990,Michael Long,Bombers,5
1990,Tim Watson,Bombers,5
1990,Jose Romero,Kangaroos,5
1990,Scott Russell,Magpies,5
1990,Ricky Jackson,Demons,5
1990,Paul Meldrum,Blues,5
1990,Roger Merrett,Bears,5
1990,Simon Atkins,Bulldogs,5
1990,Mark Zanotti,Bears,5
1990,John Ironmonger,Lions,5
1990,Peter Foster,Bulldogs,5
1990,Karl Langdon,Eagles,5
1990,Dean Laidley,Eagles,5
1990,Simon Madden,Bombers,4
1990,Peter Cransberg,Bombers,4
1990,Peter Wilson,Eagles,4
1990,Alex Ishchenko,Bears,4
1990,Robert Harvey,Saints,4
1990,Ken Hinkley,Cats,4
1990,Peter Sumich,Eagles,4
1990,Tim Pekin,Saints,4
1990,Darren Morgan,Cats,4
1990,Wayne Carey,Kangaroos,4
1990,John Gastev,Bears,4
1990,Gavin Brown,Magpies,4
1990,Stephen Kernahan,Blues,4
1990,Dermott Brereton,Hawks,4
1990,Matthew Dundas,Lions,4
1990,Trevor Poole,Cats,4
1990,Gary Pert,Lions,4
1990,Gary Ayres,Hawks,4
1990,Danny Frawley,Saints,3
1990,Marcus Ashcroft,Bears,3
1990,Mark Hepburn,Kangaroos,3
1990,Simon Minton-Connell,Blues,3
1990,Dominic Fotia,Blues,3
1990,Frank Coghlan,Saints,3
1990,Paul Van Der Haar,Bombers,3
1990,Paul Couch,Cats,3
1990,David Murphy,Swans,3
1990,Tony Lockett,Saints,3
1990,Gavin Crosisca,Magpies,3
1990,Barry Mitchell,Swans,3
1990,Mark Naley,Blues,3
1990,Mark Thompson,Bombers,3
1990,David Honybun,Tigers,3
1990,Peter German,Kangaroos,3
1990,Barry Stoneham,Cats,3
1990,David Cloke,Tigers,3
1990,Earl Spalding,Demons,3
1990,Matt Armstrong,Lions,3
1990,Paul Roos,Lions,3
1990,Paul Dear,Hawks,3
1990,Anthony Condon,Hawks,3
1990,David Glascott,Blues,3
1990,Darren Wheildon,Lions,3
1990,Wayne Schwass,Kangaroos,3
1990,Mil Hanna,Blues,3
1990,Scott Wynd,Bulldogs,3
1990,Mark Eustice,Swans,3
1990,Simon Eishold,Demons,3
1990,Chris Langford,Hawks,3
1990,Alan Ezard,Bombers,3
1990,Troy Ugle,Eagles,3
1990,Michael Mansfield,Cats,3
1990,Andy Lovell,Demons,3
1990,Russell Jeffrey,Saints,3
1990,Grant Lawrie,Saints,3
1990,Matthew Knights,Tigers,3
1990,Alan Johnson,Demons,3
1990,John McCarthy,Kangaroos,3
1990,Darrin Pritchard,Hawks,2
1990,Anthony Stevens,Kangaroos,2
1990,Darren Collins,Lions,2
1990,Paul Hudson,Hawks,2
1990,Ron McKeown,Magpies,2
1990,Doug Hawkins,Bulldogs,2
1990,Michael Christian,Magpies,2
1990,Matthew Rendell,Lions,2
1990,Andrew Manning,Bombers,2
1990,Brad Rowe,Bears,2
1990,Darren Flanigan,Cats,2
1990,Matthew Hogg,Bulldogs,2
1990,Ian Herman,Blues,2
1990,Robert DiPierdomenico,Hawks,2
1990,Mark Athorn,Lions,2
1990,Ray Sterrett,Cats,2
1990,Dale Kickett,Lions,2
1990,Russell Morris,Hawks,2
1990,Steven Clark,Demons,2
1990,Damian Monkhorst,Magpies,2
1990,John Kennedy,Hawks,2
1990,Tony Francis,Magpies,2
1990,Anthony Daniher,Bombers,2
1990,Brett Allison,Kangaroos,2
1990,Steven Hamilton,Kangaroos,2
1990,Craig Turley,Eagles,2
1990,Steven Febey,Demons,2
1990,Robert Scott,Cats,2
1990,Tony Malakellis,Cats,2
1990,Stephen Ryan,Tigers,2
1990,Paul Hamilton,Bombers,2
1990,Steven Stretch,Demons,2
1990,Glenn Nugent,Hawks,2
1990,Mark Withers,Bears,2
1990,Andrew Phillips,Blues,2
1990,Derek Kickett,Bombers,2
1990,Tom Alvin,Blues,2
1990,Michael Kennedy,Swans,1
1990,Gerard Healy,Swans,1
1990,Scott Clayton,Lions,1
1990,Michael Gallagher,Kangaroos,1
1990,Steven O'Dwyer,Demons,1
1990,Glenn Hawker,Blues,1
1990,Adrian Fletcher,Cats,1
1990,Chris Wittman,Hawks,1
1990,David Hart,Eagles,1
1990,Ian Fairley,Kangaroos,1
1990,Michael Gale,Lions,1
1990,Darren Kappler,Lions,1
1990,Peter Schwab,Hawks,1
1990,Phil Scott,Eagles,1
1990,Stephen Wright,Swans,1
1990,Stephen Wallis,Bulldogs,1
1990,Todd Viney,Demons,1
1990,Peter Rohde,Demons,1
1990,Neville Bruns,Cats,1
1990,Luke O'Sullivan,Blues,1
1990,Justin Pickering,Tigers,1
1990,James Morrissey,Hawks,1
1990,Dwayne Russell,Cats,1
1990,Mark Lee,Tigers,1
1990,Michael Richardson,Bears,1
1990,Luke Donald,Saints,1
1990,Brian Wilson,Demons,1
1990,Adrian Gleeson,Blues,1
1990,Jim Wynd,Lions,1
1990,Martin Leslie,Bears,1
1990,Darren Troy,Cats,1
1990,Michael Kennedy,Swans,1
1990,David Kernahan,Blues,1
1990,Shane Kerrison,Magpies,1
1990,Bernard Toohey,Swans,1
1990,Michael Pickering,Tigers,1
1990,Nicky Winmar,Saints,1
1990,Craig Devonport,Saints,1
1990,Craig Starcevich,Magpies,1
1991,Jim Stynes W,Demons,25
1991,Craig Turley,Eagles,20
1991,Garry Hocking,Cats,19
1991,Peter Matera,Eagles,18
1991,Paul Hudson,Hawks,17
1991,Michael McLean,Bears,17
1991,Matthew Knights,Tigers,17
1991,Tony Lockett,Saints,16
1991,David Cloke,Tigers,16
1991,Damian Bourke,Cats,16
1991,Mark Bairstow,Cats,15
1991,Mark Mickan,Crows,14
1991,Tony Francis,Magpies,14
1991,John Platten,Hawks,13
1991,Ken Hinkley,Cats,13
1991,Wayne Schwass,Kangaroos,13
1991,Peter Foster,Bulldogs,13
1991,Scott Wynd,Bulldogs,12
1991,Andrew Jarman,Crows,11
1991,Paul Couch,Cats,11
1991,Dennis Carroll,Swans,11
1991,Paul Roos,Lions,11
1991,Peter Dean,Blues,11
1991,Nicky Winmar,Saints,11
1991,Allen Jakovich,Demons,10
1991,Dean Irving,Eagles,10
1991,Frank Coghlan,Saints,9
1991,Robert Harvey,Saints,9
1991,Alan Ezard,Bombers,9
1991,Gavin Brown,Magpies,9
1991,Tony McGuinness,Crows,8
1991,Stewart Loewe,Saints,8
1991,Greg Williams,Swans,8
1991,Nigel Smart,Crows,8
1991,Russell Morris,Saints,8
1991,Peter Sumich,Eagles,8
1991,Justin Madden,Blues,8
1991,John Longmire,Kangaroos,8
1991,Simon Atkins,Bulldogs,8
1991,David Grant,Saints,8
1991,Scott Watters,Eagles,8
1991,Peter Daicos,Magpies,8
1991,Tony Hall,Hawks,7
1991,Darren Jarman,Hawks,7
1991,Gavin Wanganeen,Bombers,7
1991,Todd Viney,Demons,7
1991,Paul Salmon,Bombers,7
1991,Sean Simpson,Cats,6
1991,Matthew Larkin,Kangaroos,6
1991,Craig Bradley,Blues,6
1991,Darren Bewick,Bombers,6
1991,Michael Long,Bombers,6
1991,Brad Tunbridge,Swans,6
1991,Mil Hanna,Blues,6
1991,Stephen Silvagni,Blues,6
1991,Michael Tuck,Hawks,6
1991,Brett Allison,Kangaroos,6
1991,Stephen Kernahan,Blues,6
1991,Brett Heady,Eagles,6
1991,Neil Cordy,Swans,6
1991,Roger Merrett,Bears,6
1991,Leon Higgins,Swans,6
1991,John Ironmonger,Lions,6
1991,Chris Mainwaring,Eagles,6
1991,Simon Madden,Bombers,5
1991,Dale Lewis,Swans,5
1991,Ron McKeown,Magpies,5
1991,Doug Hawkins,Bulldogs,5
1991,Michael Martyn,Kangaroos,5
1991,Stephen MacPherson,Bulldogs,5
1991,Barry Stoneham,Cats,5
1991,Anthony Condon,Hawks,5
1991,Stephen Lawrence,Hawks,5
1991,Jeff Hogg,Tigers,5
1991,Darren Millane,Magpies,4
1991,Danny Frawley,Saints,4
1991,Michael Gallagher,Kangaroos,4
1991,Peter Filandia,Bombers,4
1991,Glenn Coleman,Bulldogs,4
1991,Matthew Campbell,Bears,4
1991,Daniel Craven,Saints,4
1991,Jason Dunstall,Hawks,4
1991,Bradley Plain,Bombers,4
1991,Kevin Dyson,Demons,4
1991,Craig Smith,Tigers,4
1991,Troy Lehmann,Magpies,4
1991,Guy McKenna,Eagles,4
1991,David Bain,Bears,4
1991,Alastair Lynch,Lions,4
1991,Ross Lyon,Lions,4
1991,Scott Russell,Magpies,4
1991,Craig Lambert,Tigers,4
1991,Dwayne Lamb,Eagles,4
1991,Andrew Collins,Hawks,4
1991,David Marshall,Crows,4
1991,Mark Zanotti,Bears,4
1991,Andrew Phillips,Blues,4
1991,Peter Cransberg,Bombers,3
1991,Andrew Cavedon,Blues,3
1991,Jeff Chandler,Kangaroos,3
1991,Chris Lewis,Eagles,3
1991,Darren Steele,Kangaroos,3
1991,Brett Lovett,Demons,3
1991,Chris Mew,Hawks,3
1991,Nigel Kellett,Bulldogs,3
1991,David Hart,Eagles,3
1991,Rodney Maynard,Crows,3
