season,player,team
1993,P Everitt,Saints
1993,S Crawford,Hawks
1993,N Chapman,Bears
1993,J Misiti,Bombers
1993,S West,Bulldogs
1993,D Neitz,Demons
1993,N Buckley,Bears
1993,J Hird,Bombers
1993,D Fletcher,Bombers
1993,M Richardson,Tigers
1993,B Atkinson,Saints
1993,G Archer,Kangaroos
1993,S Rocca,Magpies
1993,D Kowal,Demons
1993,D Kellaway,Tigers
1993,M Ricciuto,Crows
1993,I Grgic,Bulldogs
1993,A Christou,Blues
1993,R Olarenshaw,Bombers
1993,M Mercuri,Bombers
1993,B Nicholson,Bulldogs
1993,L Colbert,Cats
1994,C C-Collins,Bombers
1994,C McKernan,Kangaroos
1994,J Barker,Lions
1994,B Spinks,Eagles
1994,J Molloy,Lions
1994,J Cook,Blues
1994,C Scott,Bears
1994,K Butcher,Magpies
1994,D Banfield,Eagles
1994,M Graham,Hawks
1994,M Rogers,Tigers
1994,S Wakelin,Saints
1994,S Hawking,Lions
1994,M Clarke,Bears
1994,J Tape,Tigers
1994,D Southern,Bulldogs
1994,M Kluzek,Crows
1994,T Bond,Blues
1994,S Cummings,Bombers
1994,R Tallis,Hawks
1994,C Johnson,Lions
1994,J Hassall,Magpies
1994,S Wellman,Crows
1994,D Kellaway,Tigers
1995,T Lane,Bulldogs
1995,S Camporeale,Blues
1995,M McKinnon,Crows
1995,N Holland,Hawks
1995,D Bourke,Tigers
1995,S Lawrence,Bears
1995,B Johnson,Bulldogs
1995,M O'Loughlin,Swans
1995,A Jones,Saints
1995,S McManus,Dockers
1995,M Capuano,Kangaroos
1995,R O'Connor,Bombers
1995,S Anderson,Kangaroos
1995,J Smith,Saints
1995,A Whitehead,Blues
1995,C Callaghan,Dockers
1995,D Hargraves,Bulldogs
1995,F Gehrig,Eagles
1995,J Crawford,Swans
1995,A McLeod,Crows
1995,S Jurica,Tigers
1995,A Lord,Cats
1996,M Primus,Lions
1996,D Bandy,Dockers
1996,L Darcy,Bulldogs
1996,G Harding,Dockers
1996,A Simpson,Kangaroos
1996,S Grant,Swans
1996,A Schauble,Magpies
1996,N Carter,Lions
1996,J Schofield,Eagles
1996,D Chick,Hawks
1996,A Yze,Demons
1996,B Cousins,Eagles
1996,C Biddiscombe,Cats
1996,K Hunter,Dockers
1996,S King,Cats
1996,C Morrison,Eagles
1996,P Bell,Kangaroos
1996,D McPherson,Swans
1996,M Lloyd,Bombers
1996,L Toia,Dockers
1996,J Farmer,Demons
1996,C Callaghan,Dockers
1997,L Whitnall,Blues
1997,J Bowden,Tigers
1997,B Lockwood,Power
1997,M Wilson,Power
1997,H Black,Dockers
1997,A Houlihan,Cats
1997,B Lade,Power
1997,D Bradshaw,Lions
1997,S Carey,Swans
1997,S Woewodin,Demons
1997,T Cook,Swans
1997,K Johnson,Crows
1997,B Caracella,Bombers
1997,M Braun,Eagles
1997,P Vardy,Crows
1997,C Steinfort,Cats
1997,B Scott,Hawks
1997,M Michael,Magpies
1997,M Gardiner,$nomination.team.mascot
1997,R Powell,Tigers
1997,N Eagleton,Power
1997,A Lekkas,Hawks
1998,M Braun,Eagles
1998,L Power,Lions
1998,B Pickett,Kangaroos
1998,J Sinclair,Dockers
1998,J Hay,Hawks
1998,E Hewitt,Kangaroos
1998,W Tredrea,Power
1998,T Johnstone,Demons
1998,N Stevens,Power
1998,D Hulme,Blues
1998,J Saddington,Swans
1998,J Rahilly,Cats
1998,S Dew,Power
1998,R Robertson,Demons
1998,J Plapp,Tigers
1998,J Rawlings,Hawks
1998,J Crouch,Swans
1998,T Croad,Hawks
1998,A Eccles,Crows
1998,K Massie,Blues
1998,J Johnson,Bombers
1998,D Milburn,Cats
1999,S O'Bree,Lions
1999,A Goodes,Swans
1999,B Backwell,Blues
1999,T Longmuir,Demons
1999,N Davis,Magpies
1999,D Gallagher,Crows
1999,D Rioli,Bombers
1999,R Jones,Eagles
1999,S Black,Lions
1999,B Burton,Crows
1999,D Solomon,Bombers
1999,A Williams,Eagles
1999,M Johnson,Bombers
1999,N Thompson,Hawks
1999,A Shipp,Dockers
1999,M Dragicevic,Tigers
1999,L Power,Lions
1999,P Licuria,Magpies
1999,M Bode,Power
1999,B Mathews,Swans
1999,T Notting,Lions
1999,L Hayes,Saints
2000,P Hasleby,Dockers
2000,D Spriggs,Cats
2000,D Adkins,Magpies
2000,L Brown,Dockers
2000,A Ramanauskas,Bombers
2000,J Fraser,Magpies
2000,A Lange,Kangaroos
2000,C Bruce,Demons
2000,J Bolton,Swans
2000,C Cornes,Power
2000,G Bowyer,Hawks
2000,I Perrie,Crows
2000,B McDonald,Lions
2000,A Embley,Eagles
2000,M Whelan,Demons
2000,B Moyle,Saints
2000,M Pavlich,Dockers
2000,M Scarlett,Cats
2000,B Green,Demons
2000,R Houlihan,Blues
2000,C Fletcher,Eagles
2000,J Carr,Power
2001,D Cupido,Lions
2001,D Harris,Kangaroos
2001,D Kerr,Eagles
2001,R Lonie,Magpies
2001,C Beetham,Saints
2001,A Henneman,Bombers
2001,J Begley,Saints
2001,D Jacobs,Bombers
2001,L Penny,Bulldogs
2001,B Johnson,Hawks
2001,M McVeigh,Bombers
2001,C Ling,Cats
2001,A McPhee,Dockers
2001,J Koschitzke,Saints
2001,D Giansiracusa,Bulldogs
2001,R Murphy,Bulldogs
2001,B Guerra,Power
2001,A Fiora,Tigers
2001,R Copeland,Lions
2001,C Enright,Cats
2001,D Woods,Dockers
2001,S Greene,Hawks
2002,P Medhurst,Dockers
2002,C Judd,Eagles
2002,S Armstrong,Demons
2002,J Bartel,Cats
2002,N Riewoldt,Saints
2002,J Cloke,Magpies
2002,X Clarke,Saints
2002,D Rodan,Tigers
2002,S Birss,Bulldogs
2002,M McGough,Magpies
2002,R Hargrave,Bulldogs
2002,J Kelly,Cats
2002,S Burgoyne,Power
2002,M Coughlan,Tigers
2002,L Hodge,Hawks
2002,A Didak,Magpies
2002,N Ries,Hawks
2002,J McMahon,Bulldogs
2002,T Kennelly,Swans
2002,T Zantuck,Tigers
2002,J Charman,Lions
2002,C Brown,Hawks
2003,S Mitchell,Hawks
2003,L Ball,Saints
2003,T Sporn,Blues
2003,J Brennan,Lions
2003,A Schneider,Swans
2003,M Osborne,Hawks
2003,B Goddard,Saints
2003,A Sampi,Eagles
2003,G Polak,Dockers
2003,J Waite,Blues
2003,D Wells,Kangaroos
2003,B Fisher,Blues
2003,B Schammer,Dockers
2003,A Sandilands,Dockers
2003,T Richards,Bombers
2003,D Motlop,Kangaroos
2003,R Cole,Magpies
2003,L R-Thomson,Swans
2003,M Bullen,Bombers
2003,L Montagna,Saints
2003,A McDougall,Eagles
2003,A McGrath,Lions
2004,A Davey,Demons
2004,M Firrito,Kangaroos
2004,J Rivers,Demons
2004,P Bevan,Swans
2004,A Walker,Blues
2004,K Tenace,Cats
2004,B Staker,Eagles
2004,A Mackie,Cats
2004,G Richards,Magpies
2004,B Moloney,Cats
2004,B Ebert,Power
2004,R Hadley,Lions
2004,K Norman,Blues
2004,J Schulz,Tigers
2004,M Seaby,Eagles
2004,B Reilly,Crows
2004,S Butler,Eagles
2004,B Waters,Eagles
